term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Positive Regulation Of Small Molecule Metabolic Process (GO:0062013)	33	14350	1	15	IFNG	28.98989898989899	0.033961291148962215	0.08505901361162095	1.4690158069966859	1.0702796578965534
Positive Regulation Of Neuron Death (GO:1901216)	34	14350	1	15	IFNG	28.137254901960784	0.03497341524149317	0.08524769965113961	1.4562619556772467	1.0693173313066722
Positive Regulation Of Interleukin-10 Production (GO:0032733)	30	14350	1	15	TIGIT	31.88888888888889	0.03091897117183194	0.08526140535262748	1.5097749656537776	1.0692475132105712
Macrophage Activation (GO:0042116)	35	14350	1	15	IFNG	27.333333333333332	0.03598454955075395	0.08542419154222458	1.4438839293762755	1.0684191226891313
Central Nervous System Neuron Differentiation (GO:0021953)	31	14350	1	15	TOX	30.86021505376344	0.031934070014878205	0.08547059915746813	1.495745726861174	1.0681832515823355
Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051769)	13	14350	1	15	IFNG	73.58974358974359	0.01350956386966244	0.08577002177715921	1.8693586711153722	1.0666644796542029
Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173)	33	14350	1	15	IFNG	28.98989898989899	0.033961291148962215	0.08584659707098782	1.4690158069966859	1.0662769154428795
Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)	34	14350	1	15	IFNG	28.137254901960784	0.03497341524149317	0.08601569694529401	1.4562619556772467	1.065422287423148
Positive Regulation Of Cell Development (GO:0010720)	35	14350	1	15	IFNG	27.333333333333332	0.03598454955075395	0.08617352655575287	1.4438839293762755	1.0646261336719922
Positive Regulation Of Signaling Receptor Activity (GO:2000273)	36	14350	1	15	IFNG	26.574074074074073	0.03699469497560473	0.0863209549430777	1.4318605491223446	1.0638837638277503
Positive Regulation Of Exocytosis (GO:0045921)	37	14350	1	15	IFNG	25.855855855855854	0.03800385241415201	0.08645876424219583	1.4201723771356638	1.0631909761425327
Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414)	33	14350	1	15	IFNG	28.98989898989899	0.033961291148962215	0.08664890171651107	1.4690158069966859	1.0622369376411394
Regulation Of Interleukin-17 Production (GO:0032660)	34	14350	1	15	IFNG	28.137254901960784	0.03497341524149317	0.08679765782661487	1.4562619556772467	1.0614919937947156
Endoderm Formation (GO:0001706)	35	14350	1	15	EOMES	27.333333333333332	0.03598454955075395	0.08693612413589227	1.4438839293762755	1.0607997258189392
Receptor Signaling Pathway Via JAK-STAT (GO:0007259)	36	14350	1	15	IFNG	26.574074074074073	0.03699469497560473	0.0870651011063801	1.4318605491223446	1.0601558913085072
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	37	14350	1	15	IFNG	25.855855855855854	0.03800385241415201	0.0871853084795252	1.4201723771356638	1.0595566914874386
Negative Regulation Of Type I Interferon Production (GO:0032480)	38	14350	1	15	HAVCR2	25.17543859649123	0.03901202276374943	0.08729739520084913	1.4088015310427378	1.05899871467673
Gamma-Delta T Cell Activation (GO:0046629)	12	14350	1	15	TCF7	79.72222222222221	0.012476445351059143	0.087335117457414	1.9039091313455228	1.058811091331266
Positive Regulation Of Interleukin-12 Production (GO:0032735)	33	14350	1	15	IFNG	28.98989898989899	0.033961291148962215	0.08746634418553476	1.4690158069966859	1.0581590252207
Regulation Of T Cell Chemotaxis (GO:0010819)	13	14350	1	15	CXCL13	73.58974358974359	0.01350956386966244	0.08781216515280585	1.8693586711153722	1.0564453144725168
Positive Regulation Of Immune Effector Process (GO:0002699)	37	14350	1	15	IFNG	25.855855855855854	0.03800385241415201	0.08792416702596186	1.4201723771356638	1.0558917374010333
Regulation Of Protein Import Into Nucleus (GO:0042306)	38	14350	1	15	IFNG	25.17543859649123	0.03901202276374943	0.08801886127688921	1.4088015310427378	1.0554242543184318
Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	39	14350	1	15	IFNG	24.529914529914528	0.04001920692099815	0.08810680233413302	1.3977315222277198	1.054990560349199
Regulation Of Amyloid-Beta Formation (GO:1902003)	33	14350	1	15	IFNG	28.98989898989899	0.033961291148962215	0.08829935698730175	1.4690158069966859	1.054042459025868
Negative Regulation Of Lymphocyte Proliferation (GO:0050672)	39	14350	1	15	CTLA4	24.529914529914528	0.04001920692099815	0.08882311780026418	1.3977315222277198	1.0514739866263618
